filename,words
1.png,သိုၵ်းမၢၼ်ႈလႄႈ သိုၵ်းၵဝ်ႈၵၢင်ႉ ယိုဝ်းၵၼ်တီႈပၢင်ႇသၢႆး တိူဝ်ႉၺႃးႁိူၼ်းၵူၼ်းဝၢၼ်ႈၵူ
2.png,ၵူၼ်းပၢင်ႇသၢႆးၵေႃႉၼိုင်ႈလၢတ်ႈတီႈၽူႈတွႆႇႁွၵ်ႈဝႃႈ -“ ယိုဝ်းၵၼ်ႁိုင်မွၵ်ႈ 45 မိၼိတ်
3.png,ၵဝ်ႈၵၢင်ႉပႂ်ႉယိုဝ်းသိုၵ်းမၢၼ်ႈထႅမ်ႁႅင်းသိုၵ်း တၢင်းၶိုၼ်ႈလွႆ ၼၼ်ႉဢေႃႈ။
4.png,သိုၵ်းမၢၼ်ႈ သမ်ႉၶိုၼ်းယူႇတီႈတပ်ႉၶဝ် ၼိူဝ်လွႆ၊ ဢၼ်မီးၾၢႆႇၼိူဝ်ၵွင်းမူး ပၢင်ႇသၢႆး
5.png,သမ်ႉတူၵ်းၸမ်ဝၢၼ်ႈလႄႈ တိူဝ်ႉသႂ်ႇ ႁိူၼ်းယေးၵူၼ်းဝၢၼ်ႈၶႃႈဢေႃႈ ။
6.png,ၵူၼ်းဝၢၼ်ႈတႄႉ ဢမ်ႇငိၼ်းဝႃႈတိူဝ်ႉမၢတ်ႇၸဵပ်းၼင်ႇၵဝ်ႇၶႃႈ” ဝႃႈၼႆ။
7.png,ၼႂ်းဝူင်ႈဝၢင်ႈၼႆႉ သိုၵ်းမၢၼ်ႈလႄႈသိုၵ်းၵဝ်ႈၵၢင်ႉ ၵႆႉယိုဝ်းၵၼ်၊ လႆႈဝႃႈယိုဝ်းၵၼ်ယူႇ
8.png,ယိုဝ်းယိုဝ်းၵိုတ်းၵိုတ်း။
9.png,မီးၶၢဝ်ႇဝႃႈ သိုၵ်းၵဝ်ႈၵၢင်ႉၶႂ်ႈလႆႈၶိုၼ်းမိူင်းၵူဝ်းၼႆလႄႈ သိုၵ်းမၢၼ်ႈၸင်ႇထႅမ်ႁႅင်
10.png,ၼိုင်ႈဝၼ်းရူတ်ႉၵႃးၾူဝ်ႊဝီႊ 4-5 လမ်း။
11.png,မိူဝ်ႈဝႃး (19/8/2021) ယၢမ်းၵၢင်ၶမ်ႈမွၵ်ႈ 8 မူင်းပၢႆၵေႃႈ ၵူၼ်းမိူင်းႁၼ် သိုၵ်း ၶ
12.png,လိူဝ်ၼၼ်ႉ ၼႂ်ၼႆႉၵေႃႈ မီးၵူၼ်းၸုမ်းၼိုင်ႈ ၶီႇရူတ်ႉၶိူင်ႈလၢႆလၢႆၵၼ်း မႃးပွႆႇမၢၵ်ႇၼႂ
13.png,“ၼႂ်ၼႆႉၵေႃႈ မီးၵူၼ်းၶီႇရူတ်ႉၶိူင်ႈမႃးသေ ဢဝ်မၢပ်ႇပွမ်းထိုမ်ႈၶဝ်ႈၼႂ်းဝၢင်း ႁူင်းပလ
14.png,မၢၵ်ႇၵေႃႈတႅၵ်ႇ။
15.png,ၵူၺ်းဢမ်ႇတိူဝ်ႉၵူၼ်းၼင်ႇၵဝ်ႇၶႃႈ။
16.png,ပလိၵ်ႈမၢၼ်ႈၵေႃႈၶိုၼ်းယူႇၼႂ်းဝၢင်းသေ ယိုဝ်းၸွမ်းလင်ၵူၼ်းၶီႇရူတ်ႉၶိူင်ႈၸိူဝ်းၼၼ်ႉ
17.png,”- ဝႃႈၼႆ။
18.png,ၵူၼ်းၶီႇရူတ်ႉၶိူင်ႈၸုမ်းၼႆႉ ယူႇယူႇၵႆႉဢဝ်ႁႅင်းမႃးပၼ်ႇလဵပ်ႈလွၵ်ႇငိုတ်ႈၸွမ်းႁူင်းပလ
19.png,ပဵၼ်ၽႂ်ၸုမ်းလႂ်ဢမ်ႇႁူႉတႅတ်ႈတေႃးသေတႃႉ ၵူၼ်းပိုၼ်ႉတီႈၵမ်ႈၽွင်ႈလၢမ်းၶၢတ်ႈဝႃႈ လႅပ်ႈ
20.png,သိုၵ်းမၢၼ်ႈလႄႈသိုၵ်းၵဝ်ႈၵၢင်ႉ  ဢိၵ်ႇၸုမ်းဢူၺ်းလီၼႆႉ တႄႇပိုတ်းယိုဝ်းၵၼ်မႃးၶိ
21.png,ၵူၼ်းပိုၼ်ႉတီႈလႆႈပၢႆႈၽေးသိုၵ်း မီးႁိမ်း 1000 ။
22.png,ၵမ်ႈၽွင်ႈပၢႆႈမူၵ်းယုမ်း ၵမ်ႈၽွင်ႈပၢႆႈၵႂႃႇယူႇၸွမ်းပီႈၼွင်ႉ၊ ၵမ်ႈၽွင်ႈပၢႆႈၵႂႃႇယူႇ
23.png,ယၢမ်းလဵဝ်ၵူၼ်းပၢႆႈၽေးသိုၵ်းယၢပ်ႇၽိုတ်ႇ ၽႃႈယၢင်မုင်းသုမ်ႉသွင်းတႃႇယူႇလွတ်ႈၶၢဝ်းၾူ
24.png,ၸိူဝ်းၵႂႃႇယူႇႁိမ်းလႅၼ်လိၼ်ၶႄႇၼၼ်ႉ လူင်ပွင်ၸိုင်ႈၶႄႇ မႃးႁဵတ်းႁူဝ်ႉလႅၼ်လိၼ် တီႈဢၼ
25.png,ၸိုဝ်ႈလၢႆးၵၢၼ်ပွႆႇသဵင် သႂ်ႇဝႆႉဝႃႈ   ၼႆသေ တႄႇပွႆႇသဵင်ပၼ်ၵႂႃႇလႄႈ ၵူၼ်းမိူင
26.png,ဢွမ်လူမ်း
27.png,“တင်ႈတႄႇ  ပိုၼ်ၽၢဝ်ႇဝႃႈ ထႅင်ႈ 2-3 ဝၼ်းတေတႄႇပွႆႇသဵင် ၼႆၼၼ်ႉယဝ်ႉၶႃႈ ။
28.png,ၵူၼ်းတီႈဝဵင်းတႃႈၵုင်ႈ ဢွၼ်ၵၼ်ၵႂႃႇသိုဝ်ႉ ဢွမ်လူမ်းမႃး။
29.png,ၼႂ်းၵၢတ်ႇ ဢွၼ်ႊလၢႆႊ ၵေႃႈ ဝၢင်းၶၢႆ ၸၢၵ်ႈဢွမ်လူမ်း မႃးဢေႃႈ။
30.png,ၵႃႈဢွမ်လူမ်းၵေႃႈ ပုင်ႈၶိုၼ်ႈသုင်ဢေႃႈ ။
31.png,လုၵ်ႈတီႈ 1 လုၵ်ႈ 12000 ပျႃးၼႆႉၶိုၼ်ႈထိုင် 17000 ပျႃးၸိူဝ်းၼႆႉဢေႃႈ။
32.png,ၵူၺ်းၵႃႈ တႃႇတီႉထွမ်ႇလႆႈ သဵင်   ၼႆႉသမ်ႉ တၵ်းလႆႈပဵၼ်သႅၼ်း 10
33.png,” ၵူၼ်းၼုမ်ႇသႅၼ်းႁုၼ်ႈမႂ်ႇ ဢၼ်ယူႇတႃႈၵုင်ႈလၢတ်ႈ။
34.png,ၼႂ်းလၢႆးၵၢၼ်   ၼၼ်ႉ ပဵၼ်လၢႆးၵၢၼ်- ၶၢဝ်ႇ၊ တႃႇႁႄႉၵင်ႈတၢင်းပဵၼ်ၶူဝ်ႊဝိတ်ႉ၊
35.png,ၾူၼ်တူၵ်း ဝၼ်းတီႈ 18/8/2021 သေ လွႆၵူၼ်ႇပိၵ်ႉၼၢင်သဵၼ်ႈတၢင်း၊ တေႃႇထိုင်ဝၼ်းတီႈ 19
36.png,-လိၼ်ၵူၼ်ႇသဵၼ်ႈတၢင်းမိူင်းငေႃႉ ၵျွၵ်ႉမႄး ဝၼ်းတီႈ 18 လႄႈ 19/8/2021
37.png,တၢင်းၶဝ်ႈမိူင်းငေႃႉၵေႃႈမီး ၵဵတ်ႉ/လၢၼ်ႇ ပႂ်ႉၵူတ်ႇထတ်းထဵတ်ႈထၢမ်။
38.png,“ပႆႇမီးၵူၼ်းမိူင်းႁတ်းၵႂႃႇမႃးၶႃႈ။
