filename,words
1.png,သိုၵ်းမၢၼ်ႈလႄႈ သိုၵ်
2.png,ၵူၼ်းပၢင်ႇသၢႆးၵေႃႉၼိ
3.png,ၵဝ်ႈၵၢင်ႉပႂ်ႉယိုဝ်း
4.png,သိုၵ်းမၢၼ်ႈ သမ်ႉၶို
5.png,သမ်ႉတူၵ်းၸမ်ဝၢၼ်ႈလႄ
6.png,ၵူၼ်းဝၢၼ်ႈတႄႉ ဢမ်ႇင
7.png,ၼႂ်းဝူင်ႈဝၢင်ႈၼႆႉ သိ
8.png,ယိုဝ်းယိုဝ်းၵိုတ်းၵ
9.png,မီးၶၢဝ်ႇဝႃႈ သိုၵ်းၵဝ
10.png,ၼိုင်ႈဝၼ်းရူတ်ႉၵႃးၾ
11.png,မိူဝ်ႈဝႃး (19/8/202
12.png,လိူဝ်ၼၼ်ႉ ၼႂ်ၼႆႉၵေႃႈ
13.png,“ၼႂ်ၼႆႉၵေႃႈ မီးၵူၼ်း
14.png,မၢၵ်ႇၵေႃႈတႅၵ်ႇ။
15.png,ၵူၺ်းဢမ်ႇတိူဝ်ႉၵူၼ်
16.png,ပလိၵ်ႈမၢၼ်ႈၵေႃႈၶိုၼ
17.png,”- ဝႃႈၼႆ။
18.png,ၵူၼ်းၶီႇရူတ်ႉၶိူင်ႈၸ
19.png,ပဵၼ်ၽႂ်ၸုမ်းလႂ်ဢမ်ႇ
20.png,သိုၵ်းမၢၼ်ႈလႄႈသိုၵ်း
21.png,ၵူၼ်းပိုၼ်ႉတီႈလႆႈပၢ
22.png,ၵမ်ႈၽွင်ႈပၢႆႈမူၵ်းယ
23.png,ယၢမ်းလဵဝ်ၵူၼ်းပၢႆႈၽ
24.png,ၸိူဝ်းၵႂႃႇယူႇႁိမ်းလ
25.png,ဢွမ်လူမ်း
26.png,ၸိုဝ်ႈလၢႆးၵၢၼ်ပွႆႇသဵ
27.png,“တင်ႈတႄႇ  ပိုၼ်ၽၢ
28.png,ၵူၼ်းတီႈဝဵင်းတႃႈၵုင
